iter	Accuracy	Logloss
0	0.5821420202	0.690127386
1	0.5957347082	0.6875152109
2	0.6029997656	0.6856123817
3	0.6015936255	0.6827504558
4	0.6060464026	0.6804638816
5	0.6060464026	0.6779007852
6	0.6062807593	0.6762117605
7	0.6119053199	0.6738750996
8	0.6069838294	0.6706741008
9	0.6074525428	0.6691969829
10	0.603468479	0.6677738862
11	0.606515116	0.6657818418
12	0.6081556128	0.6642161634
13	0.6083899695	0.6629458146
14	0.6069838294	0.6610855446
15	0.6107335364	0.659885387
16	0.6093273963	0.658345785
17	0.606515116	0.6569292902
18	0.606515116	0.6559085083
19	0.6062807593	0.6540575177
20	0.6074525428	0.6530453608
21	0.6074525428	0.6519739003
22	0.6079212562	0.6508637152
23	0.6112022498	0.6497664963
24	0.6112022498	0.6483372645
25	0.6114366065	0.6473152168
26	0.6119053199	0.6463003454
27	0.609561753	0.6451243489
28	0.6100304664	0.6442178729
29	0.6090930396	0.6431623107
30	0.6104991798	0.641938063
31	0.6142488868	0.6407794874
32	0.6158893836	0.6393478384
33	0.6151863136	0.6381555563
34	0.616358097	0.6367186369
35	0.6165924537	0.6357112322
36	0.6158893836	0.6349190907
37	0.6212795875	0.6334289627
38	0.6208108742	0.6325321576
39	0.6217483009	0.6318278187
40	0.6243262245	0.6308242811
41	0.626201078	0.6296214862
42	0.6297164284	0.6286417439
43	0.6344035622	0.6274940537
44	0.6351066323	0.626187318
45	0.6362784157	0.6252596947
46	0.6376845559	0.6243395292
47	0.6381532693	0.6233623586
48	0.6428404031	0.6220346565
49	0.6433091165	0.6211867344
50	0.6456526834	0.6203511489
51	0.6491680337	0.6191414609
52	0.6501054605	0.6180369952
53	0.6526833841	0.6173842545
54	0.6561987345	0.6163417382
55	0.6597140848	0.615507673
56	0.6615889384	0.6145149156
57	0.6634637919	0.613594491
58	0.6683852824	0.6124651652
59	0.6674478556	0.6115806201
60	0.6719006328	0.6108001464
61	0.674009843	0.609879277
62	0.67705648	0.608807023
63	0.6772908367	0.6079749268
64	0.6786969768	0.6061836591
65	0.6817436138	0.6051108507
66	0.6852589641	0.6042641506
67	0.686899461	0.6034826741
68	0.689946098	0.6025425228
69	0.6929927349	0.6017913701
70	0.6974455121	0.6008300118
71	0.7007265057	0.5997713894
72	0.7023670026	0.5990250963
73	0.7040074994	0.5982090063
74	0.7056479963	0.5971244726
75	0.7086946332	0.5960674238
76	0.7103351301	0.5955217992
77	0.7115069135	0.5946810389
78	0.713381767	0.5938712402
79	0.7178345442	0.5928616911
80	0.7192406843	0.5921163114
81	0.7208811812	0.5912856808
82	0.7248652449	0.5902760548
83	0.7260370284	0.5893250687
84	0.7274431685	0.5885365456
85	0.7274431685	0.5876238837
86	0.7272088118	0.5871376628
87	0.7269744551	0.5863454466
88	0.7288493086	0.5856434327
89	0.7347082259	0.5843196364
90	0.7351769393	0.5833903813
91	0.738457933	0.5825075245
92	0.7410358566	0.5816617156
93	0.7431450668	0.5807022152
94	0.7464260605	0.5799029554
95	0.7480665573	0.579136503
96	0.7497070541	0.5783014224
97	0.7504101242	0.5774329903
98	0.7522849777	0.5765967326
99	0.7532224045	0.5759834683
100	0.754394188	0.5751993481
101	0.7583782517	0.5741388996
102	0.7607218186	0.573259359
103	0.7625966721	0.5721732919
104	0.764237169	0.5715086235
105	0.7677525193	0.5705467762
106	0.7677525193	0.5696715492
107	0.7686899461	0.5690539607
108	0.7724396532	0.5683276081
109	0.77408015	0.5673560536
110	0.77408015	0.56669832
111	0.7790016405	0.5656992041
112	0.7790016405	0.56522846
113	0.780173424	0.5644003904
114	0.7815795641	0.5633487402
115	0.7836887743	0.5625216909
116	0.7829857042	0.5617133591
117	0.7855636278	0.5607243546
118	0.7876728381	0.5599511811
119	0.7890789782	0.5591065052
120	0.7909538317	0.5585329893
121	0.7914225451	0.5577332555
122	0.7928286853	0.5569737749
123	0.7951722522	0.5562449147
124	0.7961096789	0.5553053897
125	0.7956409655	0.5547545765
126	0.7984532458	0.5538903547
127	0.7996250293	0.5531188409
128	0.8000937427	0.552272722
129	0.8014998828	0.5515242797
130	0.8019685962	0.5508865509
131	0.8033747363	0.5500432619
132	0.802906023	0.5494379326
133	0.8089992969	0.548793201
134	0.8115772205	0.5476377069
135	0.8125146473	0.5469989925
136	0.8150925709	0.5461340903
137	0.8146238575	0.5451844935
138	0.8153269276	0.5445753588
139	0.8174361378	0.5436206129
140	0.8186079213	0.542755398
141	0.8218889149	0.5418616795
142	0.8230606984	0.541416854
143	0.8232950551	0.5406761621
144	0.8254042653	0.5398556645
145	0.8270447621	0.5388104521
146	0.8279821889	0.5378353358
147	0.8296226857	0.5371172006
148	0.8310288259	0.5365388392
149	0.8307944692	0.5361361145
150	0.8326693227	0.5354893742
151	0.832434966	0.5347742214
152	0.8338411062	0.5340430435
153	0.8338411062	0.5334665762
154	0.835481603	0.5327218634
155	0.8373564565	0.5320303269
156	0.8375908132	0.5311821638
157	0.8404030935	0.5304521142
158	0.8406374502	0.5297017608
159	0.8413405203	0.5289291566
160	0.8413405203	0.5279552226
161	0.8439184439	0.5271537143
162	0.8446215139	0.5262703558
163	0.8455589407	0.5255859893
164	0.8474337942	0.5246157179
165	0.8476681509	0.5237988015
166	0.8500117178	0.5229124832
167	0.8500117178	0.5224588754
168	0.8528239981	0.5216729498
169	0.8539957816	0.5209036545
170	0.8546988517	0.520199098
171	0.8568080619	0.5193831399
172	0.8568080619	0.5187872988
173	0.858214202	0.5180685367
174	0.8596203422	0.5172733264
175	0.8596203422	0.5166143802
176	0.8614951957	0.5155833747
177	0.8617295524	0.5145120058
178	0.8631356925	0.5134845391
179	0.8645418327	0.5129564923
180	0.8657136161	0.5120791186
181	0.8661823295	0.5114546815
182	0.8664166862	0.5107491674
183	0.8668853996	0.5100329184
184	0.8664166862	0.5092693486
185	0.867354113	0.5085287616
186	0.8671197563	0.5075117134
187	0.8687602531	0.5065660601
188	0.8699320366	0.505563801
189	0.8704007499	0.5049476686
190	0.87110382	0.5042975424
191	0.8727443169	0.503499445
192	0.8722756035	0.5026288371
193	0.8729786735	0.5020541763
194	0.874150457	0.5014217315
195	0.8736817436	0.5005057168
196	0.8734473869	0.4997311705
197	0.8753222404	0.4990542308
198	0.8769627373	0.4981368066
199	0.8774314507	0.4974238829
200	0.8790719475	0.4965717284
201	0.8804780876	0.4953978888
202	0.8807124443	0.4944965087
203	0.8804780876	0.4937778602
204	0.8823529412	0.4930461632
205	0.8823529412	0.4924669044
206	0.8837590813	0.491477886
207	0.8853995782	0.4906370071
208	0.8872744317	0.4894242701
209	0.8882118584	0.4885250729
210	0.8891492852	0.4875233479
211	0.8910241387	0.4864707655
212	0.8917272088	0.4852345892
213	0.8921959222	0.4845219651
214	0.8914928521	0.4839264571
215	0.8943051324	0.4827115008
216	0.8933677056	0.4818782676
