iter	Passed	Remaining
0	208	207862
1	238	119194
2	268	89313
3	299	74537
4	328	65454
5	358	59361
6	388	55157
7	419	51968
8	450	49581
9	480	47533
10	510	45890
11	541	44544
12	570	43302
13	599	42217
14	628	41297
15	657	40465
16	686	39706
17	715	39050
18	744	38456
19	774	37953
20	804	37491
21	835	37139
22	866	36825
23	898	36537
24	930	36273
25	959	35932
26	988	35624
27	1017	35330
28	1046	35050
29	1075	34785
30	1105	34553
31	1135	34346
32	1164	34131
33	1194	33935
34	1224	33750
35	1254	33601
36	1284	33429
37	1313	33261
38	1342	33082
39	1372	32932
40	1401	32782
41	1433	32708
42	1463	32560
43	1492	32425
44	1522	32318
45	1552	32205
46	1582	32085
47	1611	31956
48	1640	31829
49	1669	31711
50	1698	31606
51	1727	31500
52	1756	31391
53	1786	31289
54	1815	31196
55	1845	31103
56	1873	30996
57	1903	30913
58	1932	30817
59	1963	30768
60	1993	30681
61	2022	30595
62	2051	30511
63	2080	30430
64	2109	30350
65	2138	30269
66	2168	30197
67	2198	30132
68	2228	30064
69	2258	30004
70	2288	29946
71	2318	29878
72	2347	29807
73	2376	29740
74	2405	29671
75	2434	29601
76	2463	29529
77	2496	29510
78	2525	29440
79	2554	29382
80	2584	29319
81	2613	29263
82	2643	29203
83	2672	29146
84	2702	29086
85	2731	29026
86	2760	28966
87	2788	28903
88	2817	28842
89	2847	28793
90	2877	28740
91	2906	28689
92	2936	28638
93	2965	28580
94	2995	28533
95	3027	28505
96	3057	28460
97	3087	28419
98	3116	28364
99	3145	28309
100	3175	28261
101	3205	28219
102	3234	28170
103	3265	28130
104	3294	28085
105	3324	28040
106	3353	27990
107	3382	27937
108	3415	27923
109	3446	27882
110	3475	27833
111	3505	27794
112	3534	27742
113	3565	27707
114	3594	27663
115	3624	27619
116	3653	27575
117	3682	27526
118	3711	27479
119	3742	27442
120	3771	27397
121	3801	27355
122	3830	27310
123	3859	27264
124	3888	27222
125	3917	27175
126	3946	27131
127	3976	27090
128	4005	27045
129	4034	27003
